"Popular Suggestions","Popular Suggestions"
"1 Column","1 Column"
"2 Columns","2 Columns"
"View all %1 results →","View all %1 results →"
"Sorry, nothing has been found for ""%1"".","Sorry, nothing has been found for ""%1""."
"Mirasvit Search Autocomplete Fast Mode doesn't support MySQL search engine.","Mirasvit Search Autocomplete Fast Mode doesn't support MySQL search engine."
"Searchable content","Searchable content"
Index,Index
"Is Enabled","Is Enabled"
"Max Number of results","Max Number of results"
"Search Autocomplete","Search Autocomplete"
"General Configuration","General Configuration"
"Minimum number of characters to search","Minimum number of characters to search"
"The delay before start finding","The delay before start finding"
"In milliseconds, e.g. 500 means 0.5 of a second","In milliseconds, e.g. 500 means 0.5 of a second"
"Enable TypeAhead","Enable TypeAhead"
"If this option is enabled, the search box will have a transparent background. It's a requirement to make this option work.","If this option is enabled, the search box will have a transparent background. It's a requirement to make this option work."
"Products Settings","Products Settings"
"Show Price","Show Price"
"Show Thumbnail","Show Thumbnail"
"Show Rating","Show Rating"
"Show Description","Show Description"
"Show SKU","Show SKU"
"Show ""Add to cart""","Show ""Add to cart"""
Appearance,Appearance
"Search Autocomplete Layout","Search Autocomplete Layout"
"Additional CSS Styles","Additional CSS Styles"
"Show Popular Suggestions","Show Popular Suggestions"
"Search queries","Search queries"
"Comma separated search queries. Leave empty to show the most popular queries.","Comma separated search queries. Leave empty to show the most popular queries."
"Ignored words","Ignored words"
"Comma separated words. Ignore a query if it contains any of these words.","Comma separated words. Ignore a query if it contains any of these words."
"Max Number of queries","Max Number of queries"
